well_no,well_name,owner,depth,aquifer_co,swl,pwsid,usgs_id,data_sourc,comments,aka2,aka3,chapid,grazing_di,welltype,well_use,well_statu,sdwa_type,nn_agency,USE,lat,long,Chapter,Al,Alkalinity_Total,As,Ba,Be,Bicarbonate,Bromide,Ca,Carbonate,Cd,Chloride,Conductivity,Corrosivity,Cr,Cu,DissolvedOxygen,Fe,Fluoride,Hardness,Hg,K,Mg,Mn,Mo,Na,Ni,Nitrate,Nitrite,Pb,pH,Phosphate,Ra_226,Ra_228,Ra_Total,Rn_222,Salinity,Sb,Se,Sn,SpecificConductance,Sr,Sulfate,Temperature,Tl,TotalDissolvedSolids,Turbidity,U,V,Zn
00-4067,(D-40-22)19CDC- 1,ROSS,350,"40",-16,,371715109322000,USGS RESTON 11/09/84,,,,"111","0",WW,DOM,UNK,UWS,,Domestic,37.2874908447,-109.540412903,Off Reservation,,,"15",,,,,"3.1",,,"2.1",,,,,,,"0.1","11",,"1.1","0.7",,,"93",,,,,"8.7",,,,,,,,"1",,"405",,"49","17.5",,"262",,,,
00-4064,(D-40-21)25AAB- 1,BLUFF,300,"40",-18.5,,371708109331000,USGS RESTON 11/09/84,,,,"111","0",WW,MUN,UNK,REG,,Municipal,37.2855529785,-109.554298401,Off Reservation,,,,,,"486",,"24","0",,"14",,,,,,,"1","100",,,"11",,,,,"1.2",,,,,,,,,,,,,"867",,"59","15.5",,"534",,,,
00-4082,(D-40-22)19   -S1,,0,"41",0,,371730109320000,USGS RESTON 11/09/84,,,,"111","0",DS,UNK,UNK,UWS,,Unknown,37.2916679382,-109.534011841,Off Reservation,,,"19","4",,,,"3",,,"2.2",,,,,,,"0.1","10",,"1.1","0.56",,,"110",,,,,"8.95",,,,,,,,,,"467",,"44","16",,"290",,,,
00-4093,(D-40-21)23AAD- 1,WAYLAND,840,"40",0,,371803109340000,USGS RESTON 11/09/84,Moved 130m SE to flowing well location on DRG next to pond on DOQQ & DRG.,,,"111","0",WW,OTH,UNK,UWS,,Other,37.2997044665,-109.567763917,Off Reservation,,,"6",,,,,"3.6",,,"1",,,,,,,"0.1","11",,"1.6","0.57",,,"84",,,,,"8.45",,,,,,,,,,"377",,"43","18",,"239",,,,
00-4068,(D-40-22)30BBB- 1,BLUFF,825,"0",-35,,371716109326000,USGS RESTON 11/09/84,,,,"111","0",WW,MUN,UNK,REG,,Municipal,37.2877731323,-109.549293518,Off Reservation,,,"13",,,"259",,"21.25","7",,"7.45",,,,,,,"0.2","104",,"1.3","11.745",,,"93",,"0.5",,,"8.8",,,,,,,,,,"425",,"79","18",,"394",,,,
00-4069,(D-40-21)25ABA- 1,BLUFF,825,"40",-54,,371717109330000,USGS RESTON 11/09/84,,,,"111","0",WW,MUN,UNK,REG,,Municipal,37.2880477905,-109.551239014,Off Reservation,,,,,,"246",,,"20",,"6",,,,,,,"0",,,,,,,,,"0.1",,,,,,,,,,,,,,,"60","19",,"333",,,,
00-4287,(D-38-25)27CCB- 1,KASPER,750,"44",0,,372658109100000,USGS RESTON 11/09/84,,,,"111","0",WW,DOM,UNK,UWS,,Domestic,37.4494400024,-109.167350769,Off Reservation,,,,,,"962",,"3.65","63",,"30.5",,,,,,,"1.9","13.5",,"4.75","1.12",,,"513.5",,"0.2",,,"8.7",,,,,,,,,,"1920",,"278","17.5",,"1330",,,,
00-4276,(D-38-25)33BDC- 1,,0,"0",0,,372624109105000,USGS RESTON 11/09/84,,,,"111","0",WW,LIV,UNK,UWS,,Livestock,37.4399909973,-109.181236267,Off Reservation,,,,,,"360",,,,,"19",,,,,,,,"150",,,,,,,,,,,"7.5",,,,,,,,,,,,,,,,,,,
00-4279,(D-38-25)35BDX- 1,US BUR,8054,"40",-82,,372628109084000,USGS RESTON 11/09/84,Moved 145m NE to flowing well location on DRG & next to GWSI location,,,"111","0",WW,LIV,UNK,UWS,,Livestock,37.4419818382,-109.143333838,Off Reservation,,,"6",,,,,"180",,,"2300",,,,,,,,"730",,"30","67",,,"3600",,,,,"7.85",,,,,,,,,,"15250",,"5000","20.5",,"11400",,,,
03K-325,03 077-11.59X14.61,TRIBE O&M,450,"40",0,,0,USGS TUCSON WRD 2/26/85,Wells on Navajo Nation more than 4.0 miles from an AUM.,,,"111","0",WW,DOM,ACT,UWS,,Domestic,36.0380401611,-111.20791626,Off Reservation,,,"1.7541543",,,,,"28.40778361",,"0.138753959","38.85855376",,,"0.797012595",,,,"0.66800223",,,"1.922550653","11.4425563",,"0.836973737","31.99268215","2.004253582","20.5855995",,"0.24083441",,,,,,,,"0.123639477",,"0.577670265",,,"63.237149955",,,,,"4.622876379",,
Rehoboth Mission,Rehoboth Christian School Wells,,0,"0",0,,0,,,Rehoboth Watering Station (Rehoboth #1 and #2),,"111","0",UNK,UNK,UNK,REG,,Unknown,35.5305,-108.65521,City Of Gallup,,,,,,,,,,,,,,,"260",,,,,,,,,,,,,,,,,"10.09","4.94","17.03",,,,,,,,,,,,,"5",,
,Gaging Station Spring,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,36.10563,-111.19867,Off Reservation,"118",,"10","99.5","2",,,"23.7",,"2",,"358",,"5","10",,"40.3",,,"0.017","3.38","5.05","8.2",,"36.3","10",,,"3","7.63",,"0.179","0.46","0.639",,,"10","5",,,,,"25.7","10",,,,"6.6","7.6"
,Lower Moenkopi Well,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,36.10617,-111.21961,Off Reservation,"53",,"3.8","55.1","2",,,"28.5",,"2",,"345",,"5","10",,"100",,,"0.012","1.54","6.39","4",,"29.5","10",,,"3","7.68",,"0.1","0.572","0.672",,,"10","5",,,,,"29","10",,,,"6.6","84.5"
,Little Dog Spring,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,36.10514,-111.17071,Off Reservation,"531",,"2.8","91.3","2",,,"32.4",,"2",,"437",,"5","2.7",,"230",,,"0.019","4.32","6.67","21.8",,"49","10",,,"3","8.09",,"0.151","0.803","0.954",,,"10","5",,,,,"29","10",,,,"3.4","4.4"
,Wisemen Spring,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,36.10475,-111.20969,Off Reservation,"521",,"10","26.3","2",,,"19.4",,"2",,"289",,"5","10",,"257",,,"0.018","3.23","2.25","13.3",,"46.4","10",,,"3","7.37",,"0.063","0.799","0.862",,,"10","5",,,,,"22.4","10",,,,"7.7","3.9"
,Tohnalea,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,36.00286517,-111.2434263,Off Reservation,"18100",,"8.47","159","2",,,"51",,"0.19",,"537",,"6.2","17.5",,"11300",,,"0.016","22.6","15.6","411",,"50.4","7",,,"11.5","9.01",,"0.5","0.9","1.4",,,"10","2.06",,,,,"11","10",,,,"35.7","55.7"
,Yellowjacket Spring,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,36.10852,-111.22382,Off Reservation,"335",,"3.4","95.2","2",,,"64",,"2",,"775",,"5","2.1",,"141",,,"0.05","3.03","13.9","31.7",,"59.2","10",,,"3","7.92",,"0.141","0.722","0.863",,,"10","3.4",,,,,"31.7","4.8",,,,"29.3","7.3"
,Toh Nee Di Kishi,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,36.0305745,-111.2550455,Off Reservation,"237",,"5.4","13.4","2",,,"6.95",,"2",,"569",,"5","10",,"184",,,"0.05","2.16","1.93","4.77",,"110","10",,,"3","8.92",,"0.1",,"0.1",,,"10","5.74",,,,,"15.6","10",,,,"8.4","10"
,Lukai Spring,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,35.51967,-110.35036,Off Reservation,"79.2",,"10","0.77","2",,,"52.6",,"2",,"878",,"5","28.2",,"20.8",,,"0.012","7.44","54.9","4",,"53.4","10",,,"1.8","7.95",,"0.018","0.699","0.717",,,"10","5",,,,,"28.3","10",,,,"29","317"
,Windmill 1,,0,"0",0,,0,,,,,"111","0",WW,UNK,UNK,UWS,,Unknown,35.07678,-108.50368,Ramah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.09",,,,,,,,,,,,,,,,,,,
,Shonetoh Spring,,0,"0",0,,0,,,,,"111","0",UNK,UNK,UNK,UWS,,Unknown,35.54781,-110.29085,Off Reservation,"81",,"3.671790665","1.1","2",,,"45.8",,"2",,"964",,"5","4.2",,"100",,,"0.012","5.35","68.3","4",,"71.4","10",,,"3","7.8",,"0.023","0.898","0.921",,,"10","3.7",,,,,"29.2","10",,,"9.958087285","27.8","91.4"
00-1658,A-27-10 06ABC,,8,"63",0,,0,USGS TUCSON WRD 2/26/85,Moved to DRG position (next to stream) due to 8 ft depth,,,"111","0",WW,UNK,UNK,UWS,,Unknown,35.7551,-111.36753,Off Reservation,"61900",,"6.6","773","3.7",,,"8.676926346",,"2.4","75.53729231","1350",,"27","91.4",,"37100","3.77700109",,"0.13","2.765871767","2.683546072","1360",,"246.21056135","31.9","25.54069037",,"51.3","8.47",,"0.406","1.63","2.036",,,"10","21.6",,,,"140.51153675","25.3","10",,,"73.1343283582089","103","871"
,"543849","LDS,",175,"0",67,,0,,,,,"111","0",WW,IND,UNK,UWS,,Independent,35.2144555539,-109.338088603,Off Reservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,"9.1044776119403",,
,"643577","KERR-MCGEE CORP,",225,"0",40,,0,,,,,"111","0",WW,OTH,UNK,UWS,,Other,35.1249419515,-109.540081159,Off Reservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,"10.4477611940298",,
,15N.17W.13.3243,,0,"0",0,,353137108353000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5269667081,-108.592302075,Off Reservation,,,,,,"475",,"27.5","0",,"74",,,,,,"345","0.9","92",,,"5.4",,,,,"2.7",,,"7.7",,,,,,,,,,"1056.5",,"65.5",,,,,,,
,15N.17W.16.3131,,0,"0",0,,353140108391000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5278000739,-108.652303676,City Of Gallup,,,,,,"280",,"29","0",,"50",,,,,,,"0.6","120",,,"12",,,,,"0.2",,,,,,,,,,,,,"1510",,"460","28",,,,,,
,15N.17W.14.4224,,0,"0",0,,353143108356000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5286333458,-108.600080077,Off Reservation,,,,,,"575",,"24.5","0",,"103.5",,,,,,"520","1.25","81",,,"4.85",,,,,"0.6",,,"7.75",,,,,,,,,,"1340",,"96","11",,,,,,
,15N.18W.13.322,,0,"0",0,,353144108415000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5289111781,-108.698971478,City Of Gallup,,,,,,"305",,"390","0",,"28",,,,,,"0","0.75","1850",,,"220",,,,,"11",,,"7.1",,,,,,,,,,"3930",,"2350","11",,,,,,
,15N.17W.16.3131A,,0,"0",0,,353140108391000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5278000739,-108.652303676,City Of Gallup,,,,,,"258",,"39","13",,"33",,,,,,,"0.5","160",,,"14",,,,,"0.2",,,"8.7",,,,,,,,,,"1510",,"493",,,,,,,
,15N.17W.13.3141,,0,"0",0,,353141108355000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5280777665,-108.596746676,Off Reservation,,,,,,"545",,"13","0",,"81.5",,,,,,"365","1.15","42",,,"2.3",,,,,"0.2",,,"7.8",,,,,,,,,,"1200",,"77","14.5",,,,,,
,15N.18W.15.412,,0,"0",0,,353145108435000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5291889817,-108.730361278,City Of Gallup,,,,,,"300",,"22","6",,"67",,,,,,,"0.6","84",,,"7.1",,,,,"1.3",,,"8.4",,,,,,,,,,"1310",,"310","19",,,,,,
,15N.18W.14.422,,0,"0",0,,353144108423000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5289111792,-108.708138478,City Of Gallup,,,,,,"380",,"100","0",,"19",,,,,,,"0.6","390",,,"34",,,,,"6.2",,,"7.2",,,,,,,,,,"1310",,"380","18",,,,,,
,15N.18W.16.421,,0,"0",0,,353144108444000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5289112341,-108.745917278,City Of Gallup,,,,,,"350",,"31","0",,"60",,,,,,"50","1.4","120",,,"10",,,,,"1.4",,,"8",,,,,,,,,,"1210",,"240","24.5",,,,,,
,15N.18W.14.143,,0,"0",0,,353153108431000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.531411157,-108.718694281,Off Reservation,,,,,,"330",,"110",,,"21",,,,,,,,"400",,,"33",,,,,,,,,,,,,,,,,,"1230",,"410",,,,,,,
,15N.18W.14.143A,,0,"0",0,,353153108431000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.531411157,-108.718694281,Off Reservation,,,,,,"345",,"108.5","0",,"15.5",,,,,,"90","0.6","430",,,"39.5",,,,,"0.8",,,"7.7",,,,,,,,,,"1195",,"380","14.5",,,,,,
,15N.18W.14.144,,0,"0",0,,353151108426000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5308556175,-108.71674978,Off Reservation,,,,,,"380",,"98.5","0",,"18",,,,,,,"0.1","375",,,"33",,,,,"1.9",,,"7.5",,,,,,,,,,"646.5",,"350","15.5",,,,,,
,15N.18W.13.131,,0,"0",0,,353157108415000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5325222222,-108.696471482,Off Reservation,,,,,,"400",,"79","0",,"20",,,,,,"450","0.6","330",,"4","32",,,"160",,"0.6",,,"7.6",,,,,,,,,,"1220",,"300","14.5",,,,,,
,15N.18W.13.132,,0,"0",0,,353157108421000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5325222331,-108.702860482,Off Reservation,,,,,,"280",,"150","0",,"10",,,,,,"960","0.5","600",,,"56",,,,,"0.8",,,"7.3",,,,,,,,,,"1340",,"510","15.5",,,,,,
,15N.18W.14.133,,0,"0",0,,353153108432000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5314111577,-108.723416681,Off Reservation,,,,,,"442",,"110","0",,"65",,,,,,,"0.4","400",,,"58",,,,,"4.4",,,"7.7",,,,,,,,,,"1330",,"351","6",,,,,,
,15N.18W.14.242,,0,"0",0,,353204108422000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5344666309,-108.707305184,Off Reservation,,,,,,"440",,,"0",,"24",,,,,,"20",,"320",,,"0.14",,,,,,,,"7.5",,,,,,,,,,"1320",,,"14.5",,,,,,
,15N.18W.14.232,,0,"0",0,,353205108424000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5347444113,-108.712583085,Off Reservation,,,,,,"480",,"83","0",,"20",,,,,,"130","0.6","320",,"3.5","29",,,"200",,"3.4",,,"7.3",,,,,,,,,,"1310",,"310","14.5",,,,,,
,15N.18W.14.2244,,0,"0",0,,353203108422000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5341888613,-108.707305184,Off Reservation,,,,,,"320",,"87",,,"16",,,,,,,"0.1","350",,,"33",,,,,"1.9",,,"7.5",,,,,,,,,,"1160",,"350","16",,,,,,
,15N.18W.13.1134A,,0,"0",0,,353204108422000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5344666305,-108.704805084,Off Reservation,,,,,,"315",,"125",,,"9",,,,,,"25","0.35","475",,,"39.5",,,,,"0.4",,,"7.65",,,,,,,,,,"1150",,"380",,,,,,,
,15N.18W.14.2223,,0,"0",0,,353217108423000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5380776556,-108.708138489,Off Reservation,,,,,,"430",,"66","0",,"33",,,,,,"175","0.7","280",,"4","28",,,"180",,"0.8",,,"7.5",,,,,,,,,,"1210",,"260","15.5",,,,,,
,15N.17W.16.21,,0,"0",0,,353208108383000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5355776588,-108.641747885,City Of Gallup,,,,,,"240",,"100","0",,"24",,,,,,,"0.3","420",,,"41",,,,,"0.2",,,,,,,,,,,,,"1350",,"510","26",,,,,,
,15N.17W.16.2222A,,0,"0",0,,353214108381000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5372443048,-108.635914387,City Of Gallup,,,,,,"260",,"12","0",,"44",,,,,,,"0.5","39",,,"2.2",,,,,"0.4",,,,,,,,,,,,,"1310",,"400",,,,,,,
,16N.18W.35.14,,0,"0",0,,353440108430000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5777989502,-108.718416835,Off Reservation,,,,,,"250",,"71","0",,"2",,,,,,"10","0.6","260",,,"21",,,,,"0",,,"7.6",,,,,,,,,,"1030",,"330","15",,,,,,
,15N.16W.30.3443,,0,"0",0,,352942108342000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.495022932,-108.573690254,Off Reservation,,,,,,"170",,"200","0",,"33.7",,,,,,"90","0.35","765",,"21","63.5",,,"1100",,"0.1",,,"7.5",,,,,,,,,,"3460",,"1805","16",,,,,,
,15N.18W.25.330,,0,"0",0,,352952108422000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.4978008269,-108.70591605,Off Reservation,,,,,,"300",,"1.2","32",,"7",,,,,,"90","1.6","4",,,"0.2",,,,,"0",,,"9.2",,,,,,,,,,"717",,"57","16.5",,,,,,
,15N.18W.24.23+DUP,,0,"0",0,,353101108414000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5169669961,-108.695638064,City Of Gallup,,,,,,"296",,"134","0",,"8.2",,,,,,,"0.4","510",,,"42",,,,,"40",,,"7.7",,,,,,,,,,"1070",,"319","9.5",,,,,,
,15N.17W.13.3414,,0,"0",0,,353131108353000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.5253000716,-108.593413173,Off Reservation,,,,,,"590",,"14","0",,"140",,,,,,"1210","1.1","50",,,"3.6",,,,,"0.4",,,"8",,,,,,,,,,"1560",,"130",,,,,,,
6-3WD1,,,0,"0",0,,0,,,,,"111","0",WW,OS,ACT,UWS,,Livestock,35.94664,-110.79955,Off Reservation,,,"14.10184552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.51",,
Bakavi Church Spring,,,0,"0",0,,0,,,,,"111","0",NS,OTH,UNK,UWS,,Other,35.92259,-110.66059,Off Reservation,,,"1.307513713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.99",,
6-1H4,,,0,"0",0,,0,,,,,"111","0",WW,OS,ACT,UWS,,Livestock,36.0005,-110.46193,Off Reservation,,,"1.356760382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.33",,
Coyote Springs Hopi,,,0,"0",0,,0,,,,,"111","0",NS,OS,UNK,UWS,,Livestock,35.83797,-110.38422,Off Reservation,,,"2.161052333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.66558554",,
Hopi Cultural Center,,,0,"0",0,,0,,,,,"111","0",WW,OS,ACT,UWS,,Livestock,35.84392,-110.52939,Off Reservation,,,"18.83465309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.268698764",,
Community Center Springs,,,0,"0",0,,0,,,,,"111","0",NS,OTH,UNK,UWS,,Other,35.80398,-110.53066,Off Reservation,,,"1.819999244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.689323971",,
,A-18-24 09ABB,,0,"0",0,,345850109475000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,34.980582875,-109.797892647,Off Reservation,"1.6",,"1.4","200","0.5","562.5","0.755","29","0","1","170",,,,"1.7",,"30.5","1.21","102","220","1.6","4.23",,"20.9","340","2.06","0.266","0.25","5","7.9",,"0.1",,"0.1",,,"0.2","1",,"1800","1380","220","16","0.05",,"2.7","0","0.7","20"
,A-18-24 08AAA,,0,"0",0,,345855109483000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,34.9819716848,-109.808170667,Off Reservation,,,,,,"580",,"15","0",,"190",,,,,,"10","1.5","58",,"2.6","4.9",,,"430",,,,,"8",,,,,,,,,,"1700",,"240","18",,,,,,
,A-19-23 19DCB,,0,"0",0,,350143109562000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.0286365034,-109.939284195,Off Reservation,,,,,,"490",,"81",,,"890",,,,,,"10","1.9","220",,"4.5","5.4",,,"1200",,"1.8","0.03",,,,,,,,,,,,"5500",,"1100","15",,,,,,
,A-19-24 20BCC,,0,"0",0,,350205109493000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.0347478842,-109.824838188,Off Reservation,,,,,,"81",,,"0",,"41800",,,,,,,,,,,,,,,,,,,"6.8",,,,,,,,,,"91650",,"1845",,,,,,,
,A-19-23 33DBA,,0,"0",0,,350009109541000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.0025262963,-109.903172354,Off Reservation,,,,,,"415",,"11.5","19",,"297.5",,,,,,"10","1.55","43",,"1.3","3.45",,,"390",,"5.7","1.3",,"8.7",,,,,,,,,,"1870",,"158","17",,,,,,
,A-19-25 30BDD,,0,"0",0,,350111109434000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.0197487321,-109.729558725,Off Reservation,,,,,,"529",,"26",,,"79",,,,,,"40","1.6","85",,"1.9","4.8",,,"290",,"0.04","0.82",,,,,,,,,,,,"1250",,"170","17",,,,,,
,A-19-25 16CCA,,0,"0",0,,350233109415000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.042526143,-109.697891258,Off Reservation,,,,,,"723",,"39",,,"42",,,,,,"20","0.5","120",,"3.4","4.8",,,"290",,"0.27","0.07",,,,,,,,,,,,"1280",,"65","16.5",,,,,,
,A-19-25 11DAA1,,0,"0",0,,350338109385000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.0605816224,-109.647334296,Off Reservation,"120",,"5","100",,,,"41",,"17","50",,,,"27",,"360","1.2","144","70","1.5","10",,,"270","33",,,"5","8",,"0.1",,"0.1",,,,"1",,"1340","850","330","15.5",,,"0.5",,"25","90"
,A-19-25 01BBA1,,0,"0",0,,350451109383000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.0808589721,-109.643445501,Off Reservation,"2400",,"3","200",,,,"30",,"4","52",,,,"76",,"2300","1.1","103","310","1.8","6.8",,,"220","21",,,"5","8.05",,"0.1",,"0.1",,,,"1",,"1115","380","100","15.5",,,"19",,"65","100"
,A-19-25 01AAB,,0,"0",0,,350456109375000,,,,,"111","0",UNK,UNK,UNK,UNK,,Unknown,35.0822479063,-109.631500708,Off Reservation,,,,,,"257",,"65",,,"42",,,,,,"10","1","220",,"1.6","13",,,"130",,"0.84","0.03",,,,,,,,,,,,"900",,"210","16",,,,,,
